Date,Revenue,Expenses,Profit,Visits,ActiveUsers,ProductCategory
2024-01-01,120000,80000,40000,5000,1200,Software
2024-02-01,135000,82000,53000,5500,1350,Services
2024-03-01,125000,85000,40000,5200,1250,Hardware
2024-04-01,140000,88000,52000,6000,1500,Software
2024-05-01,155000,90000,65000,6800,1700,Services
2024-06-01,160000,92000,68000,7200,1850,Software
2024-07-01,150000,95000,55000,6900,1750,Hardware
2024-08-01,165000,98000,67000,7500,1900,Software
2024-09-01,175000,100000,75000,8000,2100,Services
2024-10-01,180000,105000,75000,8200,2200,Software
2024-11-01,195000,110000,85000,9000,2400,Hardware
2024-12-01,210000,115000,95000,9500,2600,Software
